num,mac,mode,rssi,channel,p1,p2,p3,p4,p5,stime,etime,slocal,elocal,devicemac
1,2C:6E:85:D1:91:EC,1,73,4,1048578,10,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
2,3C:33:00:42:B0:97,1,78,4,1048578,96,0,0,0,1474954861,1474954864,1474954861,1474954864,FC:AD:0F:06:47:F0
3,3C:33:00:42:B0:97,1,77,4,1048578,118,0,0,0,1474954877,1474954880,1474954877,1474954880,FC:AD:0F:06:47:F0
4,3C:33:00:42:B0:97,1,78,4,1048578,120,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
5,3C:33:00:42:B0:97,1,77,4,1048578,131,0,0,0,1474954888,1474954891,1474954888,1474954891,FC:AD:0F:06:47:F0
6,00:95:69:99:6B:F9,1,83,4,1048578,131,0,0,0,1474954904,1474954907,1474954904,1474954907,FC:AD:0F:06:47:F0
7,00:95:69:99:6B:F9,1,84,4,1048578,85,0,0,0,1474954861,1474954864,1474954861,1474954864,FC:AD:0F:06:47:F0
8,00:95:69:99:6B:F9,1,84,4,1048578,96,0,0,0,1474954872,1474954875,1474954872,1474954875,FC:AD:0F:06:47:F0
9,00:95:69:99:6B:F9,1,83,4,1048578,100,0,0,0,1474954877,1474954880,1474954877,1474954880,FC:AD:0F:06:47:F0
10,00:95:69:99:6B:F9,1,82,4,1048578,102,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
11,00:95:69:99:6B:F9,1,82,4,1048578,114,0,0,0,1474954893,1474954896,1474954893,1474954896,FC:AD:0F:06:47:F0
12,00:95:69:99:6B:F9,1,83,4,1048578,130,0,0,0,1474954898,1474954901,1474954898,1474954901,FC:AD:0F:06:47:F0
13,00:95:69:99:69:4C,1,82,4,1048578,167,0,0,0,1474954904,1474954907,1474954904,1474954907,FC:AD:0F:06:47:F0
14,00:95:69:99:69:4C,1,81,4,1048578,115,0,0,0,1474954861,1474954864,1474954861,1474954864,FC:AD:0F:06:47:F0
15,00:95:69:99:69:4C,1,81,4,1048578,120,0,0,0,1474954867,1474954870,1474954867,1474954870,FC:AD:0F:06:47:F0
16,00:95:69:99:69:4C,1,81,4,1048578,128,0,0,0,1474954877,1474954880,1474954877,1474954880,FC:AD:0F:06:47:F0
17,00:95:69:99:69:4C,1,81,4,1048578,145,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
18,00:95:69:99:69:4C,1,81,4,1048578,149,0,0,0,1474954888,1474954891,1474954888,1474954891,FC:AD:0F:06:47:F0
19,00:95:69:99:69:4C,1,81,4,1048578,163,0,0,0,1474954898,1474954901,1474954898,1474954901,FC:AD:0F:06:47:F0
20,2C:6E:85:6D:67:67,1,74,4,1048578,3,0,0,0,1474954888,1474954891,1474954888,1474954891,FC:AD:0F:06:47:F0
21,CC:08:E0:CA:8E:FE,1,74,4,1048578,59,0,0,0,1474954888,1474954891,1474954888,1474954891,FC:AD:0F:06:47:F0
22,34:23:87:DD:29:4B,1,81,4,1048578,6,0,0,0,1474954898,1474954901,1474954898,1474954901,FC:AD:0F:06:47:F0
23,00:95:69:99:67:AF,1,87,4,1048578,19,0,0,0,1474954867,1474954870,1474954867,1474954870,FC:AD:0F:06:47:F0
24,00:95:69:99:67:AF,1,90,4,1048578,21,0,0,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
25,00:95:69:99:67:AF,1,86,4,1048578,23,0,0,0,1474954893,1474954896,1474954893,1474954896,FC:AD:0F:06:47:F0
26,24:DA:9B:B5:8E:24,1,85,4,1048578,4,0,0,0,1474954888,1474954891,1474954888,1474954891,FC:AD:0F:06:47:F0
27,C0:14:3D:DB:9A:AF,1,47,6,2052,0,0,3092,0,1474954904,1474954907,1474954904,1474954907,FC:AD:0F:06:47:F0
28,C0:14:3D:DB:9A:AF,1,43,6,2052,0,0,1522,0,1474954861,1474954864,1474954861,1474954864,FC:AD:0F:06:47:F0
29,C0:14:3D:DB:9A:AF,1,40,6,2052,0,0,1705,0,1474954867,1474954870,1474954867,1474954870,FC:AD:0F:06:47:F0
30,C0:14:3D:DB:9A:AF,1,30,6,2052,0,0,2071,0,1474954872,1474954875,1474954872,1474954875,FC:AD:0F:06:47:F0
31,C0:14:3D:DB:9A:AF,1,46,6,2052,0,0,2441,0,1474954877,1474954880,1474954877,1474954880,FC:AD:0F:06:47:F0
32,C0:14:3D:DB:9A:AF,1,34,6,2052,0,0,2924,0,1474954882,1474954885,1474954882,1474954885,FC:AD:0F:06:47:F0
